model,perm0,perm1
cognate_ridge,-0.2152409,-0.04950342
design_only,-0.20806743,-0.044651054
mean,0.0,0.0
multimodal_ae,-0.017728738,-0.045360137
pca_ridge,-0.4674198,-0.12253696
pls,-0.5521797,-0.23273358
