,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesCAD_scaffold_002773_01G000600,-0.000161767,0.1291433,0.40414488,0.8118601,0.8287375,0.23723227
TraesCAD_scaffold_126638_01G000100,-0.1509254,0.064937174,0.064937174,0.4317391,0.39159858,-0.006362438
TraesCAD_scaffold_091117_01G000100,-0.001519084,-0.43734682,-0.48876727,-0.49172938,-0.41461563,-0.027449608
TraesCAD_scaffold_030563_01G000300,-0.00070250034,-0.33702838,-0.3325826,-0.5854027,-0.6394044,-0.034882903
TraesCAD_scaffold_068638_01G000100,-5.6028366e-06,0.095348716,0.16498387,0.5485302,0.4926266,0.11438841
TraesCAD_scaffold_040161_01G000800,-0.003051281,0.092158735,0.089906156,0.27662718,0.35100943,0.087124825
TraesCAD_scaffold_036352_01G000200,-0.33333325,-0.2236538,-0.2236538,0.9368075,0.9400989,0.1393097
TraesCAD_scaffold_104201_01G000100,-0.18888664,-0.21968651,-0.21968651,-0.28684092,-0.22778189,-0.34671998
TraesCAD_scaffold_114208_01G000100,-0.33333302,-0.38254094,-0.38254094,0.97369003,0.9429743,0.34813023
TraesCAD_scaffold_004054_01G000200,-0.001562357,0.35640103,0.44333237,0.95329463,0.9539591,0.06704515
TraesCAD_scaffold_039053_01G000200,-0.53200483,0.09984428,0.02981639,0.7693595,0.74643266,0.3676715
TraesCAD_scaffold_054822_01G000100,-0.007128358,-0.26490498,-0.27545202,-0.25755525,-0.3121873,-0.14388072
TraesCAD_scaffold_023661_01G000100,-0.003754139,-0.3136767,-0.32615924,-0.22998202,-0.27506328,0.08930969
TraesCAD_scaffold_090041_01G000100,-0.18464327,-0.13968086,-0.13968086,-0.0758661,-0.027391434,-0.34042084
TraesCAD_scaffold_002084_01G001000,-0.017055035,-0.27491724,-0.25959873,0.09908277,0.09635621,-0.12260485
TraesCAD_scaffold_011627_01G000100,-1.3232231e-05,-0.14959681,-0.11770201,0.5618974,0.60133564,-0.08819544
TraesCAD_scaffold_323992_01G000100,-0.003251791,-0.43243992,-0.46955502,-0.65929735,-0.55851257,0.046816528
TraesCAD_scaffold_011449_01G000200,-0.00061774254,-0.15228081,-0.25438547,-0.2738433,-0.26649177,0.01282233
TraesCAD_scaffold_039756_01G000100,-0.00077700615,0.13414758,0.15120178,0.64946675,0.68796515,0.06749833
TraesCAD_scaffold_009838_01G000100,-0.0023266077,0.27442348,0.27057964,0.89692247,0.91565174,0.043709636
TraesCAD_scaffold_131130_01G000100,-0.5613322,-0.8298001,-0.75391316,0.6081325,0.6448014,0.00033068657
TraesCAD_scaffold_027627_01G000100,-0.000502944,-0.48950732,-0.5038692,-0.38713133,-0.6934563,0.054954648
TraesCAD_scaffold_066746_01G000100,-3.528595e-05,-0.78095067,-0.78095067,-1.072329,-0.7836702,-0.041737318
TraesCAD_scaffold_013603_01G000800,-0.3095218,-0.9790549,-0.9954673,0.8063981,0.80583656,0.08920914
TraesCAD_scaffold_090691_01G000200,-9.4771385e-05,-0.20118737,-0.25110137,-0.2491113,-0.46604478,-0.13224089
TraesCAD_scaffold_097937_01G000300,-0.0069750547,-0.09270215,-0.042583466,0.22772288,0.31033838,0.07258439
TraesCAD_scaffold_070165_01G000100,-0.018431902,-0.15443254,-0.15344965,-0.024594903,-0.09253371,-0.11774981
TraesCAD_scaffold_125714_01G000100,-0.0003362894,-1.2837808,-1.2822576,-1.6690657,-1.7707887,-0.108323574
TraesCAD_scaffold_005794_01G000200,-0.0025070906,-0.81179607,-0.85648906,-0.9074123,-1.0114491,-0.048334002
TraesCAD_scaffold_029491_01G000400,-0.58203864,0.061804056,0.057516873,0.87933,0.8574585,-0.4385003
TraesCAD_scaffold_057132_01G000100,-0.004096389,0.37825143,0.377733,0.8865327,0.8983354,0.10233134
TraesCAD_scaffold_000802_01G000100,-0.0015583038,0.19434941,0.14081657,0.63271725,0.58294696,0.18811864
TraesCAD_scaffold_134062_01G000100,-0.005649328,-0.14261425,-0.10368848,0.52044654,0.5193435,0.012924612
TraesCAD_scaffold_053630_01G000100,-0.0006438494,0.2753213,0.6308892,0.71948993,0.71369624,-0.027251601
TraesCAD_scaffold_012996_01G000100,-0.5688945,-0.5932243,-0.23514915,0.31236595,0.20035231,-0.3353778
TraesCAD_scaffold_054974_01G000200,-0.0007494688,0.013664842,0.08569729,0.8141094,0.8134113,0.02911681
TraesCAD_scaffold_082285_01G000100,-0.0007799864,-0.4963838,-0.4762566,0.12586433,0.21900082,-0.12691903
TraesCAD_scaffold_030558_01G000100,-0.00039839745,0.050935686,0.047164798,-0.14698279,-0.17905939,-0.13048327
TraesCAD_scaffold_072677_01G000300,-0.0036714077,-0.14530909,-0.03591633,0.45550424,0.5653902,-0.03830278
TraesCAD_scaffold_018667_01G000600,-9.4771385e-05,0.27465832,0.28565544,0.6483781,0.6264845,0.04200542
TraesCAD_scaffold_011966_01G000100,-0.5256773,0.16962469,0.100676,0.8121501,0.7851977,-0.3381722
TraesCAD_scaffold_018010_01G000300,-0.00039100647,0.40302062,0.4720726,0.90765554,0.8937321,0.084766686
TraesCAD_scaffold_170782_01G000100,-0.07319808,0.24425691,0.23095816,0.10268408,-0.057083964,0.03871572
TraesCAD_scaffold_111708_01G000100,-0.0012078285,0.6337229,0.63838303,0.39044005,0.37911254,-0.035622597
TraesCAD_scaffold_013482_01G000400,-0.0018885136,0.18498832,0.19044036,0.72926223,0.7232902,0.19497806
TraesCAD_scaffold_061970_01G000200,-0.3333342,-0.24964845,-0.24964869,0.918299,0.93438953,0.3319595
TraesCAD_scaffold_107053_01G000200,-0.55817664,0.117512584,0.117512584,0.8369567,0.814888,0.10604954
TraesCAD_scaffold_043799_01G000200,-0.0013628006,0.3912921,0.38528907,0.6837075,0.64861286,0.062158406
TraesCAD_scaffold_054225_01G000300,-0.15658295,-0.09330547,-0.09330547,-0.29411912,-0.25907612,-0.080736995
TraesCAD_scaffold_089470_01G000100,-0.0016399622,-0.09093523,-0.10532498,0.60239244,0.6406046,0.043498337
TraesCAD_scaffold_021254_01G000200,-0.0007292032,-0.17753017,-0.17753017,0.20531732,0.12175441,0.10333806
TraesCAD_scaffold_062470_01G000300,-0.015109062,0.08884698,0.08884698,0.3050608,0.3635894,-0.0024306774
TraesCAD_scaffold_061353_01G000100,-0.0017113686,0.2467866,0.2500745,0.044217348,0.18283778,-0.065742254
