,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesCAD_scaffold_107053_01G000200,-0.48812723,-0.14952302,-0.14952326,-0.22303808,0.25738502,-0.21364856
TraesCAD_scaffold_054974_01G000200,-0.8708761,-1.0219743,0.6779398,0.57124484,0.7246634,-0.48997545
TraesCAD_scaffold_000802_01G000100,-0.004193783,0.17625165,0.17625165,-0.69371796,0.046220303,-0.17642021
TraesCAD_scaffold_005235_01G000100,-0.80814016,-0.8126224,0.43440676,0.7590438,0.80805814,-0.8450546
TraesCAD_scaffold_458666_01G000100,-0.22451961,-0.32335496,-0.32335496,-0.17449081,-0.016857028,-0.05956614
TraesCAD_scaffold_026512_01G000700,-0.9769646,-1.1277523,-1.1277523,0.6368879,0.72634053,0.05690521
TraesCAD_scaffold_126638_01G000100,-0.24451697,-0.27763712,-0.27763712,0.30340284,0.3278936,0.18714827
TraesCAD_scaffold_072677_01G000300,-0.510332,-0.97344065,0.29007643,0.22309172,0.22255331,-2.6065078
TraesCAD_scaffold_016992_01G000200,-0.014674902,0.056455016,0.056455016,-2.7466962,-0.74175036,-0.051936865
TraesCAD_scaffold_066075_01G000200,-0.0865798,0.07129842,0.14207911,-0.41689825,-0.23456931,-0.130602
TraesCAD_scaffold_044119_01G000100,-0.36508298,-1.7129011,-1.7129011,-1.9454653,0.2711448,-2.1520712
TraesCAD_scaffold_034316_01G000800,-0.0325588,0.15540045,0.16705495,0.63533485,0.38809264,-0.12647784
TraesCAD_scaffold_062254_01G000200,-0.99932396,-1.2742455,-0.16971672,0.79451066,0.79064196,-1.783876
TraesCAD_scaffold_068638_01G000100,-0.70717645,-0.75131905,-0.75131905,0.6121221,0.59098387,0.31873274
TraesCAD_scaffold_063877_01G000100,-0.9377769,-0.97683847,-0.97683847,0.8716024,0.79129446,-0.43304288
TraesCAD_scaffold_043799_01G000200,-0.15146816,0.19135618,0.1913563,-0.25547183,-0.13289213,-0.24193418
TraesCAD_scaffold_170782_01G000100,-0.06518543,0.20431536,0.20431536,-0.67051554,0.16769958,-0.70613873
TraesCAD_scaffold_001053_01G000400,-0.8861278,-1.1281669,0.5594423,0.8526104,0.6798986,0.010007024
TraesCAD_scaffold_013209_01G000100,-0.00063073635,-0.060471416,-0.060471416,0.836811,0.7923007,-0.09783661
TraesCAD_scaffold_129097_01G000200,-0.71635485,-1.2013631,-1.2013631,-11.344021,-2.0679548,-0.8106071
TraesCAD_scaffold_049074_01G000600,-0.03725469,0.19804567,-0.6221825,-0.5015254,-0.7735435,-0.2486093
TraesCAD_scaffold_090041_01G000100,-0.00060141087,0.20560819,0.20560819,-0.0076612234,0.034395814,-0.08108318
TraesCAD_scaffold_020853_01G000100,-0.8293183,-1.1354575,0.14581817,0.732545,0.60371614,-0.08801496
TraesCAD_scaffold_007210_01G000200,-0.8676622,-1.155828,0.37190324,0.68406975,0.81531984,0.44246918
