model,reference,median_r2,median_ref,median_delta,win_frac,wilcoxon_p,n_proteins
mean,pca_ridge,-0.0052152276,-0.11122435,0.07178688,0.56,2.2993031717434853e-05,800
pls,pca_ridge,-0.033061624,-0.11122435,0.07177365,0.64625,1.1549913252601592e-27,800
multimodal_ae,pca_ridge,-0.056147277,-0.11122435,0.020042002,0.51625,0.012636761242401378,800
design_only,pca_ridge,-0.06666893,-0.11122435,0.0042675436,0.5025,0.7153860149356073,800
cognate_ridge,pca_ridge,-0.06020403,-0.11122435,0.0042675138,0.50375,0.44396590290903637,800
