,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesNOR3D03G02007890,-0.32911265,0.1444934,0.59939736,0.854942,0.8628826,0.10273731
TraesNOR3A03G01527440,-0.0034269094,0.38157606,0.41374445,0.8248746,0.8134387,0.35947853
TraesNOR5B03G02884830,-0.11856282,-0.728477,-0.728477,-0.56058025,-0.4654714,-0.20105898
TraesNOR2A03G00596690,-0.01057744,0.064843,-0.024203777,0.30636966,-0.1033237,0.14717603
TraesNOR2B03G01000990,-0.0006505251,-0.008001447,-0.08855212,-0.10726786,-0.058012843,-0.27552402
TraesNOR3B03G01612180,-0.0111448765,-0.8088324,-0.8088324,-0.9623302,-0.6453345,-0.24927759
TraesNOR2A03G00804700,-0.121952176,-0.57677126,-0.64958906,-0.4998144,-0.40329385,-0.20855081
TraesNOR5D03G03263310,-0.00082719326,-0.50078726,-0.50078714,-0.6218358,-0.20503628,-0.40290284
TraesNOR6D03G03805690,-0.004778981,-0.5156462,-0.65288436,-0.3104272,-0.056951404,-0.15198553
TraesNOR5A03G02791060,-3.671646e-05,-0.46051085,-0.44492793,-0.2798853,0.19652629,-0.17159474
TraesNOR6B03G03469750,-0.0028278828,0.39473516,0.437011,0.85815066,0.7724714,-0.21445048
TraesNOR6B03G03540290,-0.00058472157,0.2776518,0.36939746,0.77578676,0.79543084,0.042081356
TraesNOR7A03G03858060,-0.14285672,0.74996716,0.7499671,0.60359895,0.83215696,0.41919047
TraesNOR2D03G01298060,-0.00066816807,0.0022403002,-8.59499e-05,-0.23424447,-0.1479652,-0.10287559
TraesNOR7D03G04517080,-0.33333373,0.4373014,0.36805892,0.94310695,0.9917259,0.29212117
TraesNOR6A03G03284010,-0.0042984486,0.27404845,0.24100924,0.8228732,0.83732665,0.2262227
TraesNOR5D03G03209140,-4.7683716e-07,0.07363099,0.06920254,0.16029912,0.28313643,0.13008463
TraesNOR7B03G04213650,-3.0875206e-05,0.14243126,0.16156733,0.2670712,0.13135082,0.16336298
TraesNOR2B03G00886850,-0.00083851814,0.017069459,0.017069638,-0.1166904,-0.060934782,-0.016194463
TraesNOR2A03G00674620,-0.0072419643,0.06672412,0.06672412,-0.18841517,-0.04534161,-0.08183086
TraesNOR3D03G01858850,-0.0010391474,0.0058075786,0.05328107,0.22477311,0.4400739,0.14047676
TraesNOR5D03G03147060,-0.0005197525,-0.86469483,-0.86469495,-0.50298345,-0.30239213,-0.056396484
TraesNOR4A03G02041510,-0.0010126829,0.42476028,0.5707909,0.9011979,0.84872967,0.21864122
TraesNOR3B03G01685470,-0.0001578331,-0.27034187,-0.26965785,-0.16717768,0.062004387,0.0005223155
TraesNOR7B03G04186140,-0.5582768,-0.842185,-0.8663888,-1.553771,-2.7240484,-0.56293166
TraesNOR1D03G00572410,-0.00013589859,-0.6449292,-0.6539639,0.12790477,0.34155303,-0.115684986
TraesNOR6A03G03435520,-0.00087332726,0.36776584,0.3345195,0.08462036,-0.095646024,-0.2978505
TraesNOR3A03G01371880,-0.002516389,0.53820336,0.55809486,0.7382306,0.6907569,0.36309272
TraesNOR5A03G02586730,-0.0009163618,-0.014430404,-0.04184699,-0.06702137,-0.07349086,-0.026685834
TraesNOR7B03G04158970,-0.058308005,-0.24567509,-0.23146915,-0.27482367,-0.16081858,-0.22191882
TraesNOR4B03G02403150,-0.009437084,-0.10137594,-0.11015904,-0.05987394,0.08348447,0.0053275228
TraesNOR7B03G04152890,-0.0024152994,-0.15121567,-0.15695143,-0.11152589,-0.3149823,-0.07837653
TraesNOR7B03G04096500,-0.5180143,-0.58705056,-0.58867204,0.47775865,0.7161161,0.04515338
TraesNOR2A03G00632610,-0.0022292137,0.08573657,0.08573657,-0.13969219,0.03157872,0.028721869
TraesNOR1D03G00422400,-0.00036680698,0.14414084,0.14414078,0.16220665,0.24568957,0.10583049
TraesNOR1B03G00399870,-0.00037789345,0.4577859,0.4499458,0.837811,0.7565161,0.2927338
TraesNOR6B03G03575010,-0.0070574284,-0.9047309,-0.8876008,-0.97853076,-0.22479606,-0.21868229
TraesNOR4D03G02460890,-0.00022244453,0.1816873,0.1816873,-0.22864461,0.14269155,-0.037428975
TraesNOR4D03G02562340,-0.0003077984,0.08234811,0.08234811,-0.06632888,-0.1092515,0.053738058
TraesNOR7A03G03988830,-1.5974045e-05,-1.4978154,-1.462848,-1.1689913,-0.43878663,-0.1705867
TraesNOR3D03G01912860,-0.0012571812,0.20616561,0.20616561,-0.43627262,0.15270287,0.21531332
TraesNOR4B03G02244890,-8.34465e-07,-0.09965062,-0.112774014,0.55325145,0.63113606,-0.3796141
TraesNOR5B03G02892880,-0.006500602,0.07674974,0.07674974,-0.123508096,-0.22560143,0.0055437684
TraesNOR3B03G01590150,-0.003751874,-0.11958337,-0.117560625,-0.464885,-0.026251078,0.03827548
TraesNOR4B03G02261560,-0.0018845797,-0.10856259,-0.23566246,0.3503462,0.47571045,0.07963222
TraesNOR5A03G02798540,-0.10806286,-0.5608206,-0.5608206,-0.5114769,-0.53329575,-0.09892917
TraesNOR1D03G00491280,-0.0005272627,-0.21681023,-0.21681023,-0.2837999,-0.08451116,0.07665008
TraesNOR3D03G01839580,-0.0019483566,0.2522996,0.24722981,0.49314898,0.1589362,0.12530535
TraesNOR6D03G03797470,-0.034690738,-0.09494758,-0.15740025,-0.16032302,-0.04278779,-0.018521667
TraesNORUn03G04714780,-6.556511e-06,-0.17582536,-0.17582536,-0.13919437,-0.20675528,-0.04657042
TraesNOR7D03G04403680,-0.0021647215,0.408812,0.40861183,0.68555033,0.6426498,0.2273584
TraesNOR3D03G01985980,-0.011413693,-0.3411759,-0.3411759,-0.07737982,-0.13824737,-0.24736023
TraesNOR5D03G03134400,-0.00026011467,0.14445698,0.14785695,0.12666196,0.22127819,-0.031466603
TraesNOR1D03G00554230,-0.07206118,-0.3425703,-0.3731197,-0.4748038,-0.2022245,0.018474042
TraesNOR7D03G04328370,-0.00031518936,0.16320467,0.22024977,0.51255697,0.41794848,0.18577516
TraesNOR6B03G03516110,-0.044790626,-0.23341882,-0.23341894,0.053239644,0.19936854,0.03284639
TraesNOR7D03G04447560,-0.00017786026,0.076889694,0.063387394,0.31721193,0.4456833,0.046013832
TraesNOR7D03G04481450,-0.00028514862,-0.020708084,-0.013592005,0.51009285,0.41904116,0.10169971
TraesNOR7B03G04091490,-0.0016602278,0.04024297,0.04024297,-0.06583083,-0.1461972,0.056819618
TraesNOR7A03G04038390,-0.0059314966,0.27778268,0.260786,0.55751866,0.564978,0.08535653
TraesNOR7D03G04409020,-0.14522111,-0.48744166,-0.44868994,-2.3272338,-0.54908407,-0.43994355
TraesNOR1B03G00321320,-6.401539e-05,0.022932887,0.011059105,-0.28343296,-0.030028224,0.026667953
TraesNOR5D03G03223690,-0.3333341,0.44574922,0.44574928,0.973386,0.96974653,-0.30480337
TraesNOR7D03G04364190,-6.890297e-05,-0.049985647,-0.049985647,0.14454603,0.19813973,-0.022927642
TraesNOR6B03G03658690,-0.0025092363,0.01785618,0.026997745,0.3518669,0.45410997,0.18345463
TraesNOR2B03G00885670,-0.0049165487,-0.071092606,-0.07932234,-0.10711622,-0.021831036,-0.15307736
TraesNOR2D03G01260530,-0.004867673,0.14557177,0.14559406,-0.6567024,-0.39313412,0.14249933
